webScraperOrder,webScraperStartUrl,artists,artistsHref,songs,songsHref,lyrics
"1528753168-92","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني نيلى مقدسي","http://aghanilyrics.com/allsongslyrics.php?songslyrics=nely-makdsy&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%86%D9%8A%D9%84%D9%89-%D9%85%D9%82%D8%AF%D8%B3%D9%8A","كلمات اغنية اوف اوف نيلى مقدسي","http://aghanilyrics.com/songlyrics.php?lyrics=25324&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D9%88%D9%81-%D8%A7%D9%88%D9%81-%D9%86%D9%8A%D9%84%D9%89-%D9%85%D9%82%D8%AF%D8%B3%D9%8A","عـــلــى حــالك انت بعدك

ما بتعرف ابدا شو بدك

مين مفكر حالك يعني

ما تحلم راح إبقى حدك

لا تحاكـــيــنــي ولا تخبرني

انا قلبي ياما صبّرني

ولو من غيرك انت مين

ضيع من عمــــري سنين

آوف آوف

لا تسهرني ولا تحيرني

آوف آوف

يلي مطيّر عقلـــي مني

منك ياما جن جـــنوني

بحبك انا داوبو عيوني

يا مجنني حل عني

ولو .. آوف آوف

لا تسهرنـــي ولا تحيـــرني

آوف آوف

يلي مـــطيّر عــقـــلــتي مني

منك ياما جن جنوني

بحبك انا دابو عيوني .. ولو



انا دربــي مــش عـــلى دربك

ولا قادر قلبي يـــحــبـــك

انا بحـــالــــي وانــــت بـــحالك

خلي غيري يجرب حبك

ياما ليـــالـــي وانــا سهـــرانــة

بــــدي من هلا تـــنــســـــاني

ولـــو مــش وقــت الي بدك فيك

تـــرجـــعــــلي لا مـــا فــيــــك

آوف آوف

لا تســـهرنـــي ولا تــحيــرنـــي

آوف آوف

يـــلـــي مـــطــيــّر عقــلي منــي

منـــك يـــامــــا جــــن جنــونــي

بـــحـــبــك انـــا دابـــو عـــيـــوني

يا مـــجنـــــني حـــــــــل عـــني

ولــــــــــــــــــــــــــــــــــــــ

ـــو

آوف آوف

لا تــســـهــــرنــي ولا تحيرني

آوف آوف

يــــلــي مـــطـــيــــّر عــــقلي مني

منـــــك يـــامـــا جــــن جــنـــوني

بـــحــبـــك انــــا دابـــو عيــــونــي

يا مــــجنـــــني حـــــــــل عنـــي

ولو"
"1528753502-195","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني نجاح سلام","http://aghanilyrics.com/allsongslyrics.php?songslyrics=najah-sallam&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%86%D8%AC%D8%A7%D8%AD-%D8%B3%D9%84%D8%A7%D9%85","كلمات اغنية ضوي يا قمار نجاح سلام","http://aghanilyrics.com/songlyrics.php?lyrics=17949&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%B6%D9%88%D9%8A-%D9%8A%D8%A7-%D9%82%D9%85%D8%A7%D8%B1-%D9%86%D8%AC%D8%A7%D8%AD-%D8%B3%D9%84%D8%A7%D9%85","ضوي يا قمار

ضوي ياقمار .. يانور ونا

طلوا الزوار .. حلوين احبابنا ..

ياتليل اسهر .. تايجن الدار

والورد زرار .. يفتح ع دروبنا ..



ياصوتي غني وطير .. ضلك طاير فينا

خلي هالليل يصير .. من احلى ليالينا

كل ماتلاقينا .. نشبك إيدينا

والساحه فينا تميل .. والدبكه تنادينا



حبيبي لما تطل .. بتلاقيك عيوني

بتندهلك بين الكل .. ياحبي وجنوني

وتقلك اهلاً .. ودنيتنا تحلى

والساحه فينا تميل .. والدبكه تنادينا"
"1528753860-342","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني ملحم بركات","http://aghanilyrics.com/allsongslyrics.php?songslyrics=melhim-barkat&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D9%84%D8%AD%D9%85-%D8%A8%D8%B1%D9%83%D8%A7%D8%AA","كلمات اغنية حرجت ليلى ملحم بركات","http://aghanilyrics.com/songlyrics.php?lyrics=14779&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%AD%D8%B1%D8%AC%D8%AA-%D9%84%D9%8A%D9%84%D9%89-%D9%85%D9%84%D8%AD%D9%85-%D8%A8%D8%B1%D9%83%D8%A7%D8%AA","حرجت ليلى



حرجت ليلى  يغرك ان ما قالت نعم

اياك تقول لا ان كنت قايل نعم

اترك هوى البيض واتبع ل بنات النعم

الغادرة ابتعد عنها وداريها

والغانية انت خابرها وداريها

وان كنت بنعمة بالعز داريها

كتر المعاصي  عواقبها تزيل النعم



دبك دبك دبيكة اسم الله عليكِ

اسم الله عليكِ 

برمت اسطنبول عليكِ وجبل لبنان



شو جابك ع ديرتنا حبابتنا حبابتنا

منك كانت حبستنا سنتين زمان

سنتين زمان"
"1528753223-111","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني مروي","http://aghanilyrics.com/allsongslyrics.php?songslyrics=marwa&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D8%B1%D9%88%D9%8A","كلمات اغنية خليني في بالك مروي","http://aghanilyrics.com/songlyrics.php?lyrics=18701&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%AE%D9%84%D9%8A%D9%86%D9%8A-%D9%81%D9%8A-%D8%A8%D8%A7%D9%84%D9%83-%D9%85%D8%B1%D9%88%D9%8A","خليني في بالك



خليني في بالك طول بعدك تلاقيني معاك



خليني في بالك طول بعدك تلاقيني معاك



و كفايه سؤالك بيطمن قلبي اللي هواك



خليني في بالك طول بعدك تلاقيني معاك



و كفايه سؤالك بيطمن قلبي اللي هواك



انا بهواك و القلب معاك انا بشتاق و احلم بهواك

﻿ شاهدوا ما لم تشاهدوه في اي مكان اخر



 



صور صور صور صور صور صور 



مالي عيني الغرام و الله واحشني الكلام



آه



لو ليله ندالك يوم قلبي من اي مكان



لو ليله ندالك يوم قلبي من اي مكان



تعالى اشوفك و في حضنك قربني كمان



لو ليله ندالك يوم قلبي من اي مكان



تعالى اشوفك و في حضنك قربني كمان



انا بهواك و القلب معاك انا بشتاق و احلم بهواك



مالي عيني الغرام و الله واحشني الكلام



آه"
"1528753794-317","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني اميمة خليل","http://aghanilyrics.com/allsongslyrics.php?songslyrics=omaima-khalil&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D8%A7%D9%85%D9%8A%D9%85%D8%A9-%D8%AE%D9%84%D9%8A%D9%84","كلمات اغنية ايديك اميمة خليل","http://aghanilyrics.com/songlyrics.php?lyrics=15805&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D9%8A%D8%AF%D9%8A%D9%83-%D8%A7%D9%85%D9%8A%D9%85%D8%A9-%D8%AE%D9%84%D9%8A%D9%84","ايديك

إيديك بيعطوني الأمان بيلموا الخوف الـ من زمان

عم يكبر بين ضلوعي .. بتحير وتحس دموعي

كأنا حدي ستي عم تحكي حكاية وشو حكاية

والـ دنيي عم تشتي .. على زهر الرمان



بيعطوني الأمان .. إيديك بيعطوني

وبيموج العالم بعيوني ياعيوني ياعيوني

وبصير العالم مرجوحة

والبنت النسيت حالا مشلوحة بالمرجوحة

بتغفى وبتنام على زهر الرمان



بيعطوني الأمان .. إيديك بيعطوني

وبيصير الزمان يحملني ويمشي فيي

ولما بتطلع فيي .. بتشتي الدنيي بعيونك

بيصيرو مراية .. كأنا الدنيا حكاية

والعمر منام على زهر الرمان .. !"
"1528753529-207","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني هيام يونس","http://aghanilyrics.com/allsongslyrics.php?songslyrics=hiam-younes&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%87%D9%8A%D8%A7%D9%85-%D9%8A%D9%88%D9%86%D8%B3","كلمات اغنية قمري تغنى هيام يونس","http://aghanilyrics.com/songlyrics.php?lyrics=17930&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D9%82%D9%85%D8%B1%D9%8A-%D8%AA%D8%BA%D9%86%D9%89-%D9%87%D9%8A%D8%A7%D9%85-%D9%8A%D9%88%D9%86%D8%B3","قمري تغنى



قمري تغى على الاغصان

يشكو من البين والهجران

ما يعرف النوم في الاجفان

قمري تغنى قمري تغنى على الاغصان



ياقمري البان ما شئانك

تبكي على هجر خلانك

ياليتني بعض الحانك

قمري تغنى قمري تغنى على الاغصان



يا قمري البان يكفيني

همي فلازلت تشجيني

كم بت تبكي وتبكيني

وإن خوى الكاس تسقيني

هل انت إن مت تحييني

قمري تغنى قمري تغنى على الاغصان



خلي البكاء ايها الصداح

والسهد الى مطلع الاصباح

ما بيفيد البكاء والناح

هو ما تبقى لنا ياصاح

الا يكون في سكون الراح

قمري تغنى قمري تغى على الاغصان"
"1528753550-217","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني هيام يونس","http://aghanilyrics.com/allsongslyrics.php?songslyrics=hiam-younes&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%87%D9%8A%D8%A7%D9%85-%D9%8A%D9%88%D9%86%D8%B3","كلمات اغنية بعده طال والنوى هيام يونس","http://aghanilyrics.com/songlyrics.php?lyrics=17920&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A8%D8%B9%D8%AF%D9%87-%D8%B7%D8%A7%D9%84-%D9%88%D8%A7%D9%84%D9%86%D9%88%D9%89-%D9%87%D9%8A%D8%A7%D9%85-%D9%8A%D9%88%D9%86%D8%B3","بعده طال والنوى



 بعده طـال والنـوى حبـه جـرح قلبـي

دورت انا  عالـدوى محـد رحـم  حبـي

بكيـو كثيـر اهلـي واحتاروا في امـري

جابو طبيب الهـوى حتى يطيب  جرحـي



قال الطبيـب لأهلـي لمـا نظـر حـالـي

هذا المريض مسكين صعبان على  حالـي

دقـات قلبـه تقـول فارق حبيـب غالـي

من الطعـام احمـوه واسقوه رحيق صافي



قالوا حبيبـك  فيـن نروح نجيـب  منـه 

رحـمه للقلـبين ونسألـه  وصـلـك

قلت اسألـوا  قلبـي يـدلـكـم عـنــه

اسمر كحيـل العيـن قلبي اسير عطفـه



فـؤادي لـه بيحـن خمسين فـي الميـه

وبعـدي عنـه ليـه ميـه فـي المـيـه

لو كان بايدي ازيد بـس ماهو بايديه

ياناس قولوا له يخف النسبـه دي شويـه"
"1528753725-289","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني ميشلين خليفه","http://aghanilyrics.com/allsongslyrics.php?songslyrics=micheline-khalifa&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D9%8A%D8%B4%D9%84%D9%8A%D9%86-%D8%AE%D9%84%D9%8A%D9%81%D9%87","كلمات اغنية ياخسارة الايام ميشلين خليفه","http://aghanilyrics.com/songlyrics.php?lyrics=16097&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D9%8A%D8%A7%D8%AE%D8%B3%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%A7%D9%8A%D8%A7%D9%85-%D9%85%D9%8A%D8%B4%D9%84%D9%8A%D9%86-%D8%AE%D9%84%D9%8A%D9%81%D9%87","ياخسارة الايام



يا خساره الايام يا خساره الليالي

انا شفت معاك الام ولا يوم كانت في بالي

 

يا خساره الايام يا خساره الليالي

انا شفت معاك الام ولا يوم كانت في بالي 



فاكر زمان عشمتني ان انت ليه

وقلت اني من السماء اجمل هديه 



فاكر زمان عشمتني ان انت ليه

وقلت اني من السماء اجمل هديه 



عشت فغرام وانت معايا وفي لحظه هان حبي وهوايا

احلف بالدكريات وحياه عمري الي فات

﻿

احلف بالدكريات وحياه عمري الي فات

حدوق نفس الاهات وحتندم علي فات وحتبكي ع الليالي

انا اخلصت في حبي عشانك عشانك كنت بصونك كنت بحبك اكثر مني

وانت حرمني حنانك كنت ناسيني كل ما قرب بتبعد عني

كنت بكدب روحي واقول يا روحي معلش استنيه عليه

 

انا مش عارفه الي جرالك انا مش عارفه قلبك ايه

كنت بكدب روحي واقول يا روحي معلش استنيه عليه

 

انا مش عارفه الي جرالك انا مش عارفه قلبك ايه

قلبك كان اناني كانه قلب ثاني

قلبك كان اناني كانه قلب ثاني

كانه معايا 



عشت فغرام وانت معايا وفي لحظه هان حبي وهوايا

احلف بالدكريات وحياه عمري الي فات

احلف بالدكريات وحياه عمري الي فات

حدوق نفس الاهات وحتندم علي فات وحتبكي ع الليالي"
"1528753748-298","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني ايمن زبيب","http://aghanilyrics.com/allsongslyrics.php?songslyrics=ayman-zbib&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D8%A7%D9%8A%D9%85%D9%86-%D8%B2%D8%A8%D9%8A%D8%A8","كلمات اغنية لا يا حبيبي ايمن زبيب","http://aghanilyrics.com/songlyrics.php?lyrics=15824&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D9%84%D8%A7-%D9%8A%D8%A7-%D8%AD%D8%A8%D9%8A%D8%A8%D9%8A-%D8%A7%D9%8A%D9%85%D9%86-%D8%B2%D8%A8%D9%8A%D8%A8","لا يا حبيبي



لا يا حبيبي لا .. ما بعشق بعدك

ما فيي لا والله .. اتحمل بعدك

تارك بقلبي الآه .. خدني لعندك

رح تهواني ولا رح تنساني

لالا لالا لالا يا حبيبي ..



قلبك ما قلك .. اني اشتقتلك .. بدي اوصلك

رح تهواني ولا رح تنساني

لالا لالا لالا يا حبيبي ..



مرة تزعل مني .. مرة تروق

يغفى ويصحى يا روحي .. فيك الشوق

متل الشمس علينا دروب الشوق

رح تهواني ولا رح تنساني

لالا لالا لالا يا حبيبي ..



خليني بقلبك .. وبعينيك

ما تنسى اني .. بموت عليك

شو بحبك ترجعلي .. ارجعلي لي

رح تهواني ولا رح تنساني

لالا لالا لالا يا حبيبي .."
"1528753500-194","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني نجاح سلام","http://aghanilyrics.com/allsongslyrics.php?songslyrics=najah-sallam&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%86%D8%AC%D8%A7%D8%AD-%D8%B3%D9%84%D8%A7%D9%85","كلمات اغنية فيها وفيها ومافيها نجاح سلام","http://aghanilyrics.com/songlyrics.php?lyrics=17950&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D9%81%D9%8A%D9%87%D8%A7-%D9%88%D9%81%D9%8A%D9%87%D8%A7-%D9%88%D9%85%D8%A7%D9%81%D9%8A%D9%87%D8%A7-%D9%86%D8%AC%D8%A7%D8%AD-%D8%B3%D9%84%D8%A7%D9%85","فيها وفيها ومافيها

فيها وفيها ومافيها

هالنظرة العم ترميها

كان فكرك تحفر لي جوره

يارب توقع فيها .. يارب توقع فيها



وينك يا اسمر وينك .. وحياتك فتح عين

وهالحرب البيني وبينك .. وانت اللي بتخسر فيها

كان فكرك تحفر لي جوره

يارب توقع فيها .. يارب توقع فيها



عامل خطه مرسومي .. تا توقعني مفهومه

وهاللعبه مش مهضومي .. وعلى غيري روح مشيها

كان فكرك تحفر لي جوره

يارب توقع فيها .. يارب توقع فيها



حتى تخليني احبك .. ودايماً امشي على دربك

سلمني مفتاح قلبك .. وخذ الدنيا ومافيها

كان فكرك تحفر لي جوره

يارب توقع فيها .. يارب توقع فيها"
"1528753454-175","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني قمر","http://aghanilyrics.com/allsongslyrics.php?songslyrics=kamar&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%82%D9%85%D8%B1","كلمات اغنية العتبه جزاز قمر","http://aghanilyrics.com/songlyrics.php?lyrics=18071&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D8%AA%D8%A8%D9%87-%D8%AC%D8%B2%D8%A7%D8%B2-%D9%82%D9%85%D8%B1","العتبه جزاز



العتبه جزاز .. و السلم نايلو فى نايلو

و العتبه جزاز .. و السلم نايلو فى نايلو

الواد .. يا امه تاعبنى

بقى باليومين .. يسيبنى

و بعاده .. بيدوبنى

و غلبت فيه .. الحلو

باين يا امه .. ساحرنى

و بقاله كتير .. هاجرنى

و لا حتى .. بيفتكرنى

و انا لسه .. قلبى شايله



العتبه جزاز .. و السلم نايلو فى نايلو

و العتبه جزاز .. و السلم نايلو فى نايلو

الواد زود .. قساوته

لكن بتزيد .. غلاوته

اه يا امه .. من شقاوته

و غلبت فيه .. الحلو

و احلف .. ما اشوفه تانى

بعد الحلفان .. بثوانى

بنسى كلامى .. و بنسانى

و انا لسه .. قلبى شايله"
"1528753353-135","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني مارسيل خليفة","http://aghanilyrics.com/allsongslyrics.php?songslyrics=marcel-khalife&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9","كلمات اغنية ايمن مارسيل خليفة","http://aghanilyrics.com/songlyrics.php?lyrics=18416&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D9%8A%D9%85%D9%86-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9","ايمن

زعموا أن صباحاً كان

زعموا أن تراباً كان

ودم الطفلة سال على الصخر

لتشربه الوديان

وسيطلع ذات صباح

كي يهدينا خرزاً

وشقائق نعمان

سأحدثكم عن أيمن

عن فرح الغابات الفاتن في عينيه

وعن سحر يديه

إذا فرت أنهار الأرض وخبأها بين أصابعه

سأحدثكم عن أيمن

عن قمر تشتبك الأشجار على دمه المنسي

قيسقط في النسيان عن طفل

يركض خلف فراشته

وعن الخنجر في أقصى الوديان

في الأفق عصافير معادية

في الأفق طيور سود

في الأفق دم ورعود

امتشق الطفل فراشته البيضاء

صوب نحو الطائرة الأولى

فأصيب

صوب نحو الشمس فلم تسقط

صوب نحو البحر فلم يسقط

صوب نحو الأرض

فمات

بكت الشجرات

بكت السروة في السر

بكى النرجس في الساحات

قرع النهر الأجراس المنسية في الأحلام

ارتدت الأرض صدور الشهداء

وجاءت كي تشهد أيمن وهو ينام

ومشى النهر إليه

ومشى البحر إليه

مشى الوطن العربي إليه

ومشينا نحو خطاه

كان يفر جنوباً

يحمل جثته ويهاجر

نحو حدود ترقد خلف حدود ترقد خلف حدود

سيعبر ورداً ودماً وصدور"
"1528753755-301","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني ايمن زبيب","http://aghanilyrics.com/allsongslyrics.php?songslyrics=ayman-zbib&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D8%A7%D9%8A%D9%85%D9%86-%D8%B2%D8%A8%D9%8A%D8%A8","كلمات اغنية سميتك ماما ايمن زبيب","http://aghanilyrics.com/songlyrics.php?lyrics=15821&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%B3%D9%85%D9%8A%D8%AA%D9%83-%D9%85%D8%A7%D9%85%D8%A7-%D8%A7%D9%8A%D9%85%D9%86-%D8%B2%D8%A8%D9%8A%D8%A8","سميتك ماما



سميتك عمري .. سميتك ماما

وأعطيتك ماضي ماتروحيش وأني بغمى



أني إبغيك .. ونموت عليك

يجرى إللي يجرى ياعمري ما نسمع فيك



وإنغير عليك .. وإنخاف عليك

والعمر يمضى ياعمري تهونلي عليك



يارويحي ليا .. ماترغبنيش

والدمع يجرى ياعمري ما تسامحينيش"
"1528753415-159","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني مارسيل خليفة","http://aghanilyrics.com/allsongslyrics.php?songslyrics=marcel-khalife&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9","كلمات اغنية احبك اكثر مارسيل خليفة","http://aghanilyrics.com/songlyrics.php?lyrics=18363&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D8%AD%D8%A8%D9%83-%D8%A7%D9%83%D8%AB%D8%B1-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9","احبك اكثر



تكبّر…تكبّر!

فمهما يكن من جفاك

ستبقى، بعيني ولحمي، ملاك

وتبقى، كما شاء لي حبنا أن أراك

نسيمك عنبر .. وأرضك سكّر 

وإني أحبك ... أكثر



يداك خمائل .. ولكنني لا أغني ككل البلابل  

فإن السلاسل .. تعلمني أن أقاتل  

أقاتل… أقاتل

لأني أحبك أكثر!



غنائي خناجر ورد .. وصمتي طفولة رعد 

وزنبقة من دماء فؤادي .. وأنت الثرى والسماء  

وقلبك أخضر…!

وجزر الهوى، فيك، مدّ

فكيف، إذن، لا أحبك أكثر



وأنت، كما شاء لي حبنا أن أراك:

نسيمك عنبر .. وأرضك سكّر 

وقلبك أخضر…!

وإنّي طفل هواك .. على حضنك الحلو 

أنمو وأكبر!"
"1528753250-122","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني مارسيل خليفة","http://aghanilyrics.com/allsongslyrics.php?songslyrics=marcel-khalife&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9","كلمات اغنية ريتا مارسيل خليفة","http://aghanilyrics.com/songlyrics.php?lyrics=18440&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%B1%D9%8A%D8%AA%D8%A7-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9","ريتا



بين ريتا وعيوني...بندقية

والذي يعرف ريتا، ينحني

ويصلي

لإله في العيون العسلية!



...وأنا قبَّلت ريتا

عندما كانت صغيرة

وأنا أذكر كيف التصقت

بي، وغطت ساعدي أحلى ضفيرة

وأنا أذكر ريتا

مثلما يذكر عصفورٌ غديره

آه... ريتا



بيننا مليون عصفور وصورة

ومواعيد كثيرة

أطلقت ناراً عليها...بندقية





اسم ريتا كان عيداً في فمي

جسم ريتا كان عرساً في دمي

وأنا ضعت بريتا...سنتين

وهي نامت فوق زندي سنتين

وتعاهدنا على أجمل كأس، واحترقنا

في نبيذ الشفتين

وولدنا مرتين!

آه... ريتا



أي شيء ردَّ عن عينيك عينيَّ

سوى إغفاء تين

وغيوم عسلية

قبل هذي البندقية!



كان يا ما كان

يا صمت العشيَّة

قمري هاجر في الصبح بعيداً

في العيون العسلية

والمدينة

كنست كل المغنين، وريتا



بين ريتا وعيوني... بندقية"
